"half","symbol","treat","at","avg","shares","trades","spt"
"1","BEKB","0","3380000","26.97","111228.76","1060.82","104.85168077524933"
"1","BPOST","0","1929000","14.42","349619.82","915.79","381.76854955830487"
"1","CARD","0","32000","18.48","22506.92","225.37","99.86653059413408"
"1","CFEB","0","4161000","52.43","19680.18","270.9","72.64739756367663"
"1","CMB","0","2095000","18.48","23011.07","138.34","166.33706809310394"
"1","COFB","0","3670000","87.02","29705.73","682.98","43.49428973029957"
"1","COLR","0","3722000","41.16","120570.2","1231.66","97.89243784810742"
"1","GIMB","0","1027000","37.25","13300.81","179.39","74.1446568928034"
"1","GLOG","0","15000","1.26","10323.98","10.37","995.5621986499518"
"1","HAMO","0","516000","14.76","3140.97","25.64","122.50273010920436"
"1","HOMI","0","325000","75.4","614.19","13.08","46.956422018348626"
"1","IBAB","0","282000","6.42","26020.6","84.24","308.88651471984804"
"1","IMMOU","0","25000","57.32","48.23","2.21","21.823529411764707"
"1","IMMO","0","527000","35.7","1940.08","24.23","80.0693355344614"
"1","KBC","0","241306000","36","1001091.38","5674.17","176.42957119719713"
"1","KBCA","0","2442000","20.72","97042.12","460.19","210.87403029183596"
"1","KEYW","0","24000","0.72","8839.54","6.95","1271.8762589928058"
"1","MDXH","0","29000","2.73","63409.48","64.91","976.8830688645818"
"1","MIKO","0","118000","60.66","372.99","4.76","78.359243697479"
"1","MOBB","0","1450000","12.81","166237.58","733.76","226.55579481029218"
"1","NYR","0","3220000","2.35","801896.82","604.72","1326.0630043656568"
"1","OPTI","0","12000","0.24","218133.88","35.48","6148.0800450958295"
"1","DELB","0","11596000","46.36","447826.28","4265.48","104.98848429719517"
"1","DEXB","0","222936000","0.04","4475363.4","183.73","24358.37043487727"
"1","EURN","0","1921000","4.77","76544","139.47","548.8205348820535"
"1","EXM","0","1189000","9.44","92052.09","308.98","297.92248689235544"
"1","FLUX","0","2858000","28.91","3142.64","22.72","138.32042253521126"
"1","GBLB","0","18958000","62.72","88553.69","1047.78","84.51553761285767"
"1","ABI","0","141666000","73.03","1351547.25","9284.38","145.57215990728514"
"1","ACKB","0","10888000","74.42","26469.48","527.78","50.152487778998825"
"1","AED","0","739000","50.12","7141.02","104.32","68.45302914110431"
"1","AGS","0","95736000","29.46","475598.02","2710.91","175.43851326676284"
"1","AGFB","0","2568000","1.62","301920.25","160.45","1881.7092552196948"
"1","ASC","0","485000","50.8","527","5.53","95.29837251356238"
"1","ATEB","0","377000","32.79","1746.72","17.19","101.61256544502618"
"1","BANI","0","357000","8.94","2146.92","10.18","210.8958742632613"
"1","PIC","0","421000","24.08","5063.75","50.63","100.01481335176773"
"1","REA","0","222000","16.66","5614.88","41.43","135.52691286507363"
"1","REC","0","612000","5.16","36308.07","92.38","393.02955185105003"
"1","RES","0","183000","75.26","2009.18","47.98","41.875364735306384"
"1","RET","0","756000","55.73","1961.83","27.08","72.44571639586411"
"1","RHJI","0","2958000","3.81","66351.75","84.92","781.3442063118229"
"1","ROU","0","852000","11.25","1637.12","10.62","154.15442561205273"
"1","RTL","0","7567000","74.07","43223.53","387.15","111.64543458607776"
"1","SAP","0","364000","47.13","304.66","7.13","42.72931276297336"
"1","SIOE","0","347000","7.62","13131.38","44.06","298.0340444847934"
"1","SIP","0","710000","52.2","3184.32","60.62","52.529198284394596"
"1","TERB","0","241000","54.85","415.4","7.58","54.80211081794195"
"1","TEXF","0","108000","32.75","824.39","10.35","79.6512077294686"
"1","TIG","0","63000","0.35","2104355.36","203.58","10336.748993024854"
"1","TUB","0","1805000","40.07","8259.85","93.32","88.51103729104159"
"1","UCB","0","9907000","45.81","213804.18","2013.58","106.18112019388353"
"1","UMI","0","3512000","33.72","450402.32","3304.39","136.30422559080498"
"1","VAN","0","197000","35.47","5517.42","47.71","115.64493816809893"
"1","VGP","0","366000","18.78","132.29","1.74","76.02873563218391"
"1","ZENT","0","38000","0.66","5167.76","3.53","1463.9546742209634"
"1","ZTS","0","163000","16.77","3229.84","22.85","141.34967177242888"
"2","ABI","0","149895000","77.1","1489702.05","10592.72","140.63451596945828"
"2","ABLX","1","212000","8.72","172886.57","552.44","312.95085439142713"
"2","ACKB","0","11111000","88.31","33381.19","743.14","44.919113491401355"
"2","AED","0.17","795000","50.88","8040.94","141.74","56.730210244108925"
"2","AGS","1","99232000","31.33","458777.42","2751.26","166.7517501072236"
"2","AGFB","1","2573000","2.24","368421.83","331.77","1110.4736112367002"
"2","ASC","0.04","487000","52.04","2518","11.5","218.95652173913044"
"2","ATEB","1","383000","37.59","2117.29","28","75.61749999999999"
"2","BANI","1","359000","8.44","3506.94","14.11","248.54287739192063"
"2","BAR","0.02","1007000","56.18","24608.14","459.62","53.540185370523474"
"2","BEFB","0.06","2319000","52.21","25248.75","383.69","65.8050770152988"
"2","DECB","1","455000","2.27","160877.29","140.77","1142.8378915962207"
"2","DELB","0.4","10967000","50","467645.73","4277.3","109.33199214457717"
"2","DEXB","1","237993000","0.04","2960458.68","124.28","23820.877695526233"
"2","ECONB","1","1515000","7.81","136251.9","387.82","351.32767778866486"
"2","ELI","1","5471000","36.35","35980.22","426.81","84.3003209859188"
"2","EVS","1","137000","43.82","38171.96","556.93","68.53996013861706"
"2","FLUX","1","2846000","29.29","2299.08","20.43","112.53450807635829"
"2","GBLB","0","19580000","71.99","92951.54","1140.13","81.52714164174259"
"2","PIC","1","436000","27.5","3851.96","32.8","117.4378048780488"
"2","REC","1","635000","6.87","47828.95","117.93","405.570677520563"
"2","BIL","1","99000","9.52","23357.57","81.18","287.72567134762255"
"2","RHJI","1","9478000","3.65","94372.66","134.43","702.0208286840735"
"2","ROU","1","789000","12.37","2259.9","14.86","152.07940780619114"
"2","RTL","0","7340000","84.39","22861.33","283.82","80.54869283348602"
"2","SAP","0.99","368000","47.09","200.73","4.99","40.22645290581162"
"2","SIOE","1","357000","9.18","11500.4","49.37","232.9430828438323"
"2","GLOG","1","16000","1.68","14114.71","14.35","983.6034843205574"
"2","HAMO","1","577000","15.07","3569.08","28.16","126.74289772727272"
"2","HOMI","0","342000","78.36","1145.59","19.37","59.14248838409912"
"2","IMMO","1","431000","39.28","1746.02","23.93","72.96364396155454"
"2","JEN","1","154000","14.13","3840.12","22.14","173.4471544715447"
"2","KBC","1","252768000","43.75","1014717.67","6583.28","154.13557831354584"
"2","KBCA","1","2442000","26.99","55428.7","434.37","127.6071091465801"
"2","KEYW","1","26000","0.72","10030.85","7.72","1299.3329015544043"
"2","KIN","1","297000","26.65","14535.69","106.01","137.1162154513725"
"2","BEKB","1","3724000","27.54","72346.42","761.8","94.9677343134681"
"2","BREB","1","1252000","28.21","6564.24","48.26","136.01823456278493"
"2","CARD","0.98","52000","39.77","27135.17","422.1","64.28611703387823"
"2","CFEB","0.02","4032000","72.89","16585.52","294.52","56.313730816243385"
"2","COFB","0","3469000","87.4","36770.12","800.96","45.90756092688773"
"2","DIE","1","3724000","33.39","56265.75","626.39","89.82542824757739"
"2","MDXH","1","21000","3.87","125353.55","187.56","668.3383983791854"
"2","MELE","1","250000","28.01","29975.1","316.88","94.59448371623327"
"2","MIKO","0","0","66.92","480.79","5.02","95.77490039840639"
"2","MOBB","1","1430000","13.84","146202.73","625.36","233.78970512984523"
"2","MONT","1","380000","30.86","3306.63","24.56","134.6347719869707"
"2","NYR","1","3270000","2.1","608221.88","487.3","1248.1466858198235"
"2","OPTI","1","15000","0.39","742367.2","162.37","4572.071195417872"
"2","SIP","0.01","766000","60.17","2938.76","52.37","56.115333206033995"
"2","TNET","1","3405000","43.67","99245.12","1022.87","97.02613235308495"
"2","TERB","0","231000","58.28","459.17","9.71","47.28836251287333"
"2","TESB","1","1051000","19.32","58467.4","375.48","155.71375306274635"
"2","TEXF","1","107000","36.06","564.29","8.92","63.261210762331835"
"2","THR","1","246000","19.19","189771.13","1095.48","173.23103114616424"
"2","TIG","1","60000","0.75","2186176.27","406.73","5375.0061957563985"
"2","TUB","0.37","1796000","50.31","11270.29","127.83","88.16623640772902"
"2","UCB","0.01","9724000","56.82","249581.4","2277.96","109.56355686667017"
"2","UMI","1","3659000","34.62","530167.71","3364.64","157.5704116933758"
"2","VAN","1","176000","37.81","6297.2","66.95","94.05825242718446"
"2","VGP","1","424000","18.08","255.47","2.71","94.26937269372694"
"2","VIO","1","3426000","4.27","40662.71","121.6","334.39728618421054"
"2","WDP","0.01","1410000","54.06","12255.6","192.16","63.77810158201499"
"2","WEHB","0","647000","90.02","1286.53","49.4","26.043117408906884"
"2","ZENT","1","44000","0.84","10798.85","6.16","1753.060064935065"
"2","ZTS","1","173000","20.21","3686.38","27.89","132.17569021154534"
